Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2025-03-03,8,data_driven,calendar,SHORT_CALENDAR,50,-15687.499999999978,1147310.0,True
2025-03-04,8,data_driven,calendar,LONG_CALENDAR,50,36562.499999999985,1183872.5,False
2025-03-06,8,data_driven,calendar,LONG_CALENDAR,50,28750.00000000002,1212622.5,True
2025-03-11,8,data_driven,calendar,LONG_CALENDAR,50,45062.49999999999,1257685.0,False
2025-03-13,8,data_driven,calendar,SHORT_CALENDAR,50,999.9999999999965,1258685.0,True
2025-03-17,8,data_driven,calendar,SHORT_CALENDAR,50,-56500.00000000002,1202185.0,False
2025-03-20,8,data_driven,calendar,LONG_CALENDAR,50,-2875.000000000014,1199310.0,False
2025-03-25,8,data_driven,calendar,SHORT_CALENDAR,50,-52749.999999999985,1146560.0,False
2025-04-04,8,data_driven,calendar,LONG_CALENDAR,22,109697.5,1256257.5,False
2025-04-09,8,data_driven,calendar,LONG_CALENDAR,50,27625.000000000102,1283882.5,True
2025-04-17,8,data_driven,calendar,LONG_CALENDAR,50,-42187.5,1241695.0,False
2025-04-21,8,data_driven,calendar,SHORT_CALENDAR,26,-121615.0,1120080.0,False
2025-04-22,8,data_driven,calendar,SHORT_CALENDAR,50,29625.000000000007,1149705.0,False
2025-04-28,8,data_driven,calendar,SHORT_CALENDAR,44,-113739.99999999999,1035965.0,True
2025-05-05,8,data_driven,calendar,SHORT_CALENDAR,50,-65187.500000000015,970777.5,True
2025-05-13,8,data_driven,calendar,SHORT_CALENDAR,50,-28562.50000000003,942215.0,True
2025-05-22,8,data_driven,calendar,LONG_CALENDAR,35,94150.0,1036365.0,False
2025-05-26,8,data_driven,calendar,SHORT_CALENDAR,50,-17937.50000000003,1018427.5,False
2025-05-27,8,data_driven,calendar,SHORT_CALENDAR,50,28437.5,1046865.0,False
2025-05-28,8,data_driven,calendar,SHORT_CALENDAR,50,-36062.49999999999,1010802.5,True
2025-06-09,8,data_driven,calendar,LONG_CALENDAR,50,-89499.99999999999,921302.5,True
2025-06-16,8,data_driven,calendar,LONG_CALENDAR,50,-58125.0,863177.5,True
2025-06-17,8,data_driven,calendar,SHORT_CALENDAR,50,44062.5,907240.0,True
2025-06-18,8,data_driven,calendar,SHORT_CALENDAR,50,-51562.50000000004,855677.5,False
2025-06-19,8,data_driven,calendar,SHORT_CALENDAR,50,-18687.500000000022,836990.0,True
2025-06-20,8,data_driven,calendar,LONG_CALENDAR,50,749.9999999999574,837740.0,False
2025-06-23,8,data_driven,calendar,SHORT_CALENDAR,50,-4874.999999999936,832865.0000000001,False
2025-06-25,8,data_driven,calendar,SHORT_CALENDAR,50,-77375.00000000001,755490.0000000001,True
2021-09-29,1,manual_agree,calendar,LONG_CALENDAR,3,8133.750000000004,108133.75,True
2021-12-01,1,manual_agree,calendar,LONG_CALENDAR,4,8894.999999999998,117028.75,True
2022-03-02,2,manual_agree,calendar,LONG_CALENDAR,2,9455.000000000002,126483.75,True
2022-03-10,2,manual_agree,calendar,SHORT_CALENDAR,50,-6375.000000000028,120108.74999999997,True
2022-04-27,2,manual_agree,calendar,LONG_CALENDAR,7,11567.499999999984,131676.24999999994,True
2022-07-11,3,manual_agree,calendar,SHORT_CALENDAR,10,12400.000000000004,144076.24999999994,True
2022-08-29,3,manual_agree,calendar,LONG_CALENDAR,4,14209.999999999996,158286.24999999994,True
2022-09-14,3,manual_agree,calendar,LONG_CALENDAR,10,14949.999999999989,173236.24999999994,True
2022-09-26,3,manual_agree,calendar,LONG_CALENDAR,20,16550.00000000004,189786.24999999997,True
2022-10-31,3,manual_agree,calendar,SHORT_CALENDAR,15,-17849.999999999996,171936.24999999997,True
2022-12-07,3,manual_agree,calendar,LONG_CALENDAR,6,15165.0,187101.24999999997,True
2023-02-15,4,manual_agree,calendar,SHORT_CALENDAR,19,-18382.499999999996,168718.74999999997,True
2023-03-10,4,manual_agree,calendar,LONG_CALENDAR,9,16695.000000000022,185413.75,True
2023-03-17,4,manual_agree,calendar,SHORT_CALENDAR,17,-17637.49999999999,167776.25,True
2023-03-20,4,manual_agree,calendar,LONG_CALENDAR,5,15850.000000000004,183626.25,True
2023-03-21,4,manual_agree,calendar,SHORT_CALENDAR,21,17639.99999999998,201266.24999999997,True
2023-04-28,4,manual_agree,calendar,SHORT_CALENDAR,26,-19760.000000000004,181506.24999999997,True
2023-08-03,5,manual_agree,calendar,LONG_CALENDAR,50,13124.999999999929,194631.2499999999,False
2023-09-22,5,manual_agree,calendar,LONG_CALENDAR,7,18899.999999999993,213531.2499999999,True
2023-10-04,5,manual_agree,calendar,LONG_CALENDAR,25,-21312.499999999978,192218.74999999994,False
2023-10-17,5,manual_agree,calendar,SHORT_CALENDAR,50,18125.00000000002,210343.74999999997,True
2023-10-20,5,manual_agree,calendar,LONG_CALENDAR,17,20739.999999999993,231083.74999999997,False
2024-04-16,6,manual_agree,calendar,LONG_CALENDAR,9,22803.749999999996,253887.49999999997,True
2024-05-30,6,manual_agree,calendar,LONG_CALENDAR,35,25156.250000000047,279043.75,False
2024-07-19,7,manual_agree,calendar,LONG_CALENDAR,5,23743.75,302787.5,True
2024-08-02,7,manual_agree,calendar,LONG_CALENDAR,50,-22250.000000000015,280537.5,True
2024-08-05,7,manual_agree,calendar,LONG_CALENDAR,22,26839.999999999975,307377.5,True
2024-08-07,7,manual_agree,calendar,SHORT_CALENDAR,41,-30186.24999999997,277191.25,True
2024-08-26,7,manual_agree,calendar,SHORT_CALENDAR,50,-21937.499999999978,255253.75000000003,False
2024-09-10,7,manual_agree,calendar,SHORT_CALENDAR,50,-13375.000000000004,241878.75000000003,True
2024-09-12,7,manual_agree,calendar,SHORT_CALENDAR,4,-23264.999999999996,218613.75000000003,True
2024-09-20,7,manual_agree,calendar,SHORT_CALENDAR,5,20056.250000000004,238670.00000000003,False
2024-10-04,7,manual_agree,calendar,LONG_CALENDAR,50,-13187.500000000085,225482.49999999994,True
2024-11-06,7,manual_agree,calendar,SHORT_CALENDAR,5,-18806.250000000004,206676.24999999994,True
2024-11-25,7,manual_agree,calendar,SHORT_CALENDAR,10,-19012.5,187663.74999999994,True
2024-12-19,7,manual_agree,calendar,LONG_CALENDAR,13,-18167.499999999993,169496.24999999994,True
2025-01-16,8,manual_agree,calendar,SHORT_CALENDAR,33,-16582.499999999996,152913.74999999994,False
2025-01-29,8,manual_agree,calendar,SHORT_CALENDAR,41,-15272.500000000005,137641.24999999994,False
2025-02-05,8,manual_agree,calendar,SHORT_CALENDAR,32,-13640.00000000001,124001.24999999993,True
2025-02-24,8,manual_agree,calendar,LONG_CALENDAR,50,7624.999999999957,131626.24999999988,False
2025-02-28,8,manual_agree,calendar,LONG_CALENDAR,7,11838.749999999985,143464.99999999988,True
2025-03-06,8,manual_agree,calendar,SHORT_CALENDAR,36,14130.00000000004,157594.9999999999,False
2025-03-17,8,manual_agree,calendar,SHORT_CALENDAR,13,-14690.000000000005,142904.9999999999,False
2025-03-20,8,manual_agree,calendar,SHORT_CALENDAR,7,-12705.000000000004,130199.99999999991,True
2025-04-04,8,manual_agree,calendar,LONG_CALENDAR,2,9972.5,140172.4999999999,False
2025-04-09,8,manual_agree,calendar,LONG_CALENDAR,25,13812.500000000051,153984.99999999997,True
2025-04-21,8,manual_agree,calendar,SHORT_CALENDAR,3,-14032.5,139952.49999999997,False
2025-04-28,8,manual_agree,calendar,SHORT_CALENDAR,5,-12924.999999999998,127027.49999999997,True
2025-05-05,8,manual_agree,calendar,SHORT_CALENDAR,9,-11733.750000000002,115293.74999999997,True
2025-05-22,8,manual_agree,calendar,LONG_CALENDAR,4,10760.0,126053.74999999997,False
2025-06-09,8,manual_agree,calendar,SHORT_CALENDAR,23,-12419.999999999978,113633.75,False
2025-06-25,8,manual_agree,calendar,SHORT_CALENDAR,7,-10832.500000000002,102801.25,True
